StateName,County,Countyrate,City,Salestaxrate,AlachuaCounty,7%
Alabama,Escambia County,10%,Atmore,9.50%,,
Alabama,,,Brewton,9%,,
Alabama,,,Flomaton,9%,,
Alabama,,,Atmore,10%,,
Alabama,,,Huxford,9%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Etowah County,10%,Gadsden,10%,,
Alabama,,,Attalla,5%,,
Alabama,,,Rainbow City,9%,,
Alabama,,,Gadsden,10%,,
Alabama,,,Boaz,5%,,
Alabama,,,Altoona,5%,,
Alabama,,,Gadsden,10%,,
Alabama,,,Gallant,5%,,
Alabama,,,Walnut Grove,8%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Fayette County,9%,Fayette,6%,,
Alabama,,,Berry,9%,,
Alabama,,,Eldridge,6%,,
Alabama,,,Bankston,6%,,
Alabama,,,Belk,7%,,
Alabama,,,Glen Allen,7%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Franklin County,9%,Russellville,9%,,
Alabama,,,Russellville,6%,,
Alabama,,,Phil Campbell,6%,,
Alabama,,,Red Bay,8.50%,,
Alabama,,,Vina,6%,,
Alabama,,,Spruce Pine,6%,,
Alabama,,,Hodges,6%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Geneva County,9.50%,Slocomb,6%,,
Alabama,,,Geneva,9.50%,,
Alabama,,,Hartford,6%,,
Alabama,,,Samson,6%,,
Alabama,,,Chancellor,6%,,
Alabama,,,Coffee Springs,6%,,
Alabama,,,Black,8%,,
Alabama,,,Malvern,8%,,
Alabama,,,Bellwood,6%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Greene County,10%,Eutaw,10%,,
Alabama,,,Boligee,7%,,
Alabama,,,Forkland,9%,,
Alabama,,,Clinton,7%,,
Alabama,,,Knoxville,7%,,
Alabama,,,West Greene,7%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Hale County,7%,Greensboro,7%,,
Alabama,,,Moundville,7%,,
Alabama,,,Sawyerville,7%,,
Alabama,,,Newbern,7%,,
Alabama,,,Akron,7%,,
Alabama,,,,,,
Alabama,Henry County,9%,Headland,9%,,
Alabama,,,Abbeville,6%,,
Alabama,,,Columbia,6%,,
Alabama,,,Newville,6%,,
Alabama,,,Shorterville,6%,,
Alabama,,,Clopton,6%,,
Alabama,,,,,,
Alabama,Houston County,9%,Dothan,9%,,
Alabama,,,Ashford,5%,,
Alabama,,,Cottonwood,5%,,
Alabama,,,Webb,8%,,
Alabama,,,Cowarts,7%,,
Alabama,,,Gordon,5%,,
Alabama,,,Pansey,5%,,
Alabama,,,,,,
Alabama,Jackson County,9%,Scottsboro,9%,,
Alabama,,,Stevenson,7.50%,,
Alabama,,,Section,6%,,
Alabama,,,Pisgah,6%,,
Alabama,,,Woodville,6%,,
Alabama,,,Flat Rock,6%,,
Alabama,,,Bridgeport,9%,,
Alabama,,,Bryant,6%,,
Alabama,,,Bryant,6%,,
Alabama,,,Hollywood,9%,,
Alabama,,,Higdon,5%,,
Alabama,,,Fackler,6%,,
Alabama,,,Paint Rock,6%,,
Alabama,,,Paint Rock,6%,,
Alabama,,,Hollytree,6%,,
Alabama,,,Princeton,6%,,
Alabama,,,Estillfork,6%,,
Alabama,,,,,,
Alabama,Jefferson County,10%,Birmingham,10%,,
Alabama,,,Bessemer,10%,,
Alabama,,,Trussville,10%,,
Alabama,,,Pinson,6%,,
Alabama,,,Gardendale,10%,,
Alabama,,,Leeds,10%,,
Alabama,,,Warrior,7%,,
Alabama,,,Pleasant Grove,10%,,
Alabama,,,Fairfield,10%,,
Alabama,,,Dora,9%,,
Alabama,,,Adamsville,10%,,
Alabama,,,Fultondale,10%,,
Alabama,,,Mount Olive,6%,,
Alabama,,,Morris,10%,,
Alabama,,,Mulga,10%,,
Alabama,,,Adger,6%,,
Alabama,,,Kimberly,10%,,
Alabama,,,Graysville,10%,,
Alabama,,,Dolomite,10%,,
Alabama,,,Clay,10%,,
Alabama,,,Alton,10%,,
Alabama,,,Sayre,8%,,
Alabama,,,Docena,8%,,
Alabama,,,Watson,8%,,
Alabama,,,Shannon,7.75%,,
Alabama,,,Brookside,10%,,
Alabama,,,New Castle,10%,,
Alabama,,,Palmerdale,10%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Lamar County,6.00%,Vernon,6%,,
Alabama,,,Sulligent,6%,,
Alabama,,,Millport,6%,,
Alabama,,,Kennedy,6%,,
Alabama,,,Detroit,6%,,
Alabama,,,Beaverton,6%,,
Alabama,,,,,,
Alabama,Lauderdale County,9.50%,Florence,5.50%,,
Alabama,,,Florence,9.50%,,
Alabama,,,Killen,5.50%,,
Alabama,,,Rogersville,5.50%,,
Alabama,,,Lexington,5.50%,,
Alabama,,,Anderson,5.50%,,
Alabama,,,Waterloo,5.50%,,
Alabama,,,Cloverdale,5.50%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Lawrence County,7%,Moulton,7%,,
Alabama,,,Trinity,7%,,
Alabama,,,Town Creek,7%,,
Alabama,,,Danville,7%,,
Alabama,,,Hillsboro,7%,,
Alabama,,,Courtland,7%,,
Alabama,,,Mount Hope,7%,,
Alabama,,,,,,
Alabama,Lee County,9.75%,Auburn,9%,,
Alabama,,,Opelika,9%,,
Alabama,,,Phenix City,9.75%,,
Alabama,,,Smiths Station,9%,,
Alabama,,,Salem,8%,,
Alabama,,,Waverly,8%,,
Alabama,,,Loachapoka,8%,,
Alabama,,,Auburn University,9%,,
Alabama,,,,,,
Alabama,Limestone County,9%,Athens,6%,,
